x,y,width,height,confidence,frame_id
585,100,513,736,0.886039,0
584,101,514,736,0.881976,1
582,119,511,728,0.874439,2
586,134,506,711,0.874839,3
585,136,511,704,0.88229,4
582,138,514,702,0.883843,5
578,140,529,700,0.888595,6
583,139,532,702,0.889562,7
583,138,532,704,0.890999,8
584,132,529,710,0.888895,9
585,137,527,703,0.88663,10
588,126,519,711,0.878556,11
591,94,508,747,0.889947,12
597,96,494,745,0.893763,13
596,85,494,756,0.896811,14
594,83,505,763,0.889628,15
596,70,506,780,0.894366,16
603,59,498,794,0.887488,17
626,53,475,799,0.877315,18
623,53,490,798,0.881202,19
653,46,451,813,0.866034,20
665,57,438,792,0.859412,21
697,56,396,790,0.837189,22
718,33,374,814,0.807058,23
729,40,360,806,0.816256,24
739,34,346,812,0.789104,25
737,41,352,802,0.787083,26
732,46,363,800,0.805635,27
724,40,384,810,0.801516,28
707,68,417,782,0.8216,29
705,69,434,787,0.80783,30
692,73,453,791,0.814341,31
685,75,474,772,0.835951,32
679,88,487,768,0.850861,33
683,94,478,760,0.853635,34
678,95,479,760,0.837533,35
666,93,485,766,0.845781,36
669,103,476,758,0.845983,37
664,112,469,747,0.848239,38
666,104,461,747,0.847186,39
663,111,461,730,0.85054,40
658,118,469,726,0.847363,41
652,110,482,747,0.864828,42
642,94,495,774,0.871062,43
656,97,476,771,0.864009,44
651,103,467,750,0.847661,45
638,98,479,745,0.832249,46
631,94,478,760,0.83091,47
619,95,486,755,0.841862,48
620,94,469,758,0.842866,49
626,85,441,761,0.850879,50
616,85,454,762,0.857793,51
612,88,444,753,0.861775,52
609,83,444,761,0.852769,53
611,86,446,762,0.844626,54
609,87,449,753,0.843598,55
600,87,464,755,0.846101,56
595,81,468,761,0.853131,57
596,80,478,764,0.855598,58
597,82,490,761,0.84658,59
602,84,487,758,0.835223,60
615,85,467,755,0.829925,61
667,86,397,755,0.825363,62
689,83,371,773,0.799219,63
698,81,363,788,0.806554,64
708,90,368,773,0.785504,65
713,84,358,796,0.779811,66
713,87,366,781,0.791219,67
713,98,363,772,0.783737,68
722,97,346,781,0.789935,69
719,97,340,786,0.791721,70
727,101,330,786,0.777306,71
728,99,332,788,0.787999,72
733,98,326,790,0.770822,73
736,98,331,792,0.787873,74
745,97,320,794,0.76998,75
754,97,311,792,0.743561,76
754,95,306,792,0.75741,77
758,92,301,792,0.741927,78
763,91,294,794,0.722236,79
766,94,301,788,0.724772,80
761,81,330,804,0.778032,81
752,78,362,807,0.747776,82
692,56,546,841,0.752387,83
728,71,432,820,0.706407,84
761,70,427,820,0.686177,85
748,83,365,804,0.6805,86
746,79,364,816,0.745421,87
750,70,295,821,0.700903,88
763,89,294,798,0.688607,89
756,69,311,822,0.728059,90
742,61,332,833,0.770256,91
732,58,355,834,0.761395,92
735,23,362,878,0.790614,93
731,1,376,906,0.798922,94
720,0,383,900,0.805556,95
750,9,355,876,0.726115,96
755,24,356,866,0.725605,97
762,33,350,843,0.704625,98
768,31,332,831,0.669526,99
771,43,337,821,0.679572,100
771,40,346,836,0.682817,101
774,28,345,857,0.682668,102
771,23,352,858,0.698965,103
783,28,345,852,0.664931,106
798,17,339,884,0.651724,107
798,1,345,900,0.679336,108
797,8,356,894,0.710988,109
793,9,365,896,0.71294,110
783,26,383,875,0.737232,111
782,12,391,893,0.749361,112
776,0,402,908,0.768,113
780,0,388,905,0.713764,114
783,0,381,905,0.724586,115
769,0,397,908,0.69515,116
757,2,410,900,0.7088,117
741,4,435,893,0.684084,118
718,0,459,888,0.738881,119
709,23,466,857,0.783308,120
703,7,477,884,0.789741,121
701,14,484,874,0.79494,122
696,12,479,875,0.795079,123
687,9,484,885,0.811105,124
681,12,488,883,0.81024,125
669,2,494,891,0.823107,126
640,0,531,891,0.859676,127
637,0,531,895,0.880891,128
630,0,538,886,0.88313,129
632,7,537,882,0.87481,130
636,27,534,852,0.878788,131
637,39,529,840,0.877268,132
631,37,536,842,0.881168,133
633,52,532,823,0.884237,134
635,56,532,812,0.871202,135
634,53,530,822,0.865019,136
635,46,528,831,0.85326,137
640,51,519,814,0.852883,138
635,52,526,812,0.868743,139
637,51,520,815,0.873171,140
640,49,518,831,0.874918,141
646,46,512,832,0.873447,142
647,47,512,828,0.863562,143
644,43,514,843,0.859129,144
622,46,544,841,0.882771,145
591,44,576,841,0.891012,146
588,54,564,828,0.891015,147
585,47,563,833,0.894469,148
589,58,548,812,0.900534,149
581,57,570,814,0.89436,150
579,65,582,807,0.896355,151
583,74,560,790,0.897673,152
585,82,558,774,0.898092,153
585,74,573,792,0.89452,154
587,77,568,790,0.894621,155
586,79,565,789,0.896279,156
586,84,564,779,0.891609,157
586,76,564,787,0.887086,158
587,65,554,807,0.896796,159
590,56,548,818,0.894516,160
589,58,556,818,0.891086,161
589,46,550,832,0.88432,162
589,44,536,833,0.877429,163
590,43,539,832,0.87984,164
593,36,532,832,0.881066,165
588,36,546,832,0.880218,166
592,39,531,820,0.871967,167
588,41,550,812,0.871072,168
610,39,531,826,0.852951,169
604,50,554,818,0.861429,170
619,53,547,826,0.872294,171
632,50,529,832,0.851139,172
634,56,527,828,0.866073,173
629,63,531,815,0.875076,174
621,71,552,805,0.88083,175
619,85,553,787,0.885915,176
617,83,573,796,0.886663,177
611,84,598,796,0.886275,178
613,88,591,791,0.882614,179
610,97,589,782,0.87782,180
617,105,586,776,0.873282,181
621,113,583,764,0.871705,182
625,117,578,763,0.870405,183
623,123,582,753,0.86549,184
611,113,597,766,0.856484,185
605,93,605,787,0.859192,186
608,88,594,787,0.854417,187
615,93,582,780,0.86331,188
614,85,572,787,0.86786,189
648,82,522,788,0.860928,190
654,104,532,763,0.850752,191
660,95,528,773,0.855792,192
651,106,538,762,0.86023,193
641,106,562,762,0.857062,194
649,94,540,772,0.850417,195
638,93,578,776,0.844407,196
628,99,597,770,0.84075,197
614,112,600,756,0.84666,198
596,114,620,750,0.85182,199
584,113,618,752,0.864857,200
584,106,608,762,0.86767,201
571,117,623,752,0.865567,202
577,106,591,772,0.879171,203
570,104,591,779,0.88428,204
572,113,568,770,0.885217,205
535,115,612,768,0.87746,206
533,119,622,763,0.877441,207
551,123,600,760,0.879479,208
539,125,606,756,0.883704,209
532,129,614,752,0.881222,210
502,130,646,753,0.87324,211
505,127,634,754,0.872216,212
499,124,641,760,0.871738,213
534,128,610,754,0.885393,214
532,133,617,744,0.882315,215
533,135,628,742,0.887705,216
544,136,615,740,0.891583,217
572,124,586,756,0.901842,218
599,122,554,755,0.895745,219
640,116,508,763,0.879119,220
660,113,477,766,0.868607,221
674,100,448,784,0.870889,222
682,91,426,792,0.870284,223
678,96,415,787,0.880844,224
640,81,452,804,0.88963,225
610,72,487,799,0.894119,226
588,68,516,806,0.907603,227
528,66,588,814,0.88797,228
574,79,546,792,0.86792,229
638,70,482,799,0.883631,230
609,49,526,814,0.881777,231
643,56,502,821,0.869066,232
650,29,511,850,0.886564,233
638,0,526,909,0.875418,234
633,0,561,914,0.847459,235
614,0,596,896,0.847831,236
610,0,615,903,0.87636,237
603,0,649,906,0.872345,238
613,0,618,905,0.880308,239
617,10,591,882,0.880559,240
608,29,600,856,0.888546,241
604,41,600,843,0.899053,242
602,58,588,821,0.897896,243
605,79,576,802,0.896226,244
612,86,571,791,0.899407,245
611,84,599,789,0.89131,246
613,81,600,792,0.898487,247
613,80,613,791,0.894137,248
614,77,618,797,0.894929,249
618,79,616,791,0.888025,250
619,82,612,790,0.885178,251
626,77,608,798,0.878457,252
628,76,608,797,0.87727,253
633,74,607,794,0.867234,254
635,71,612,796,0.852698,255
646,62,597,815,0.855775,256
656,39,581,842,0.849388,257
672,21,563,864,0.820384,258
691,44,548,840,0.803315,259
720,10,516,880,0.805812,260
771,19,443,867,0.806919,261
805,34,405,859,0.842896,262
831,25,375,864,0.829746,263
850,43,344,842,0.797527,264
883,33,312,848,0.756391,265
897,34,300,844,0.746189,266
902,22,301,862,0.769831,267
912,34,294,849,0.751035,268
918,39,288,840,0.734252,269
916,21,306,870,0.778639,270
916,26,303,854,0.772994,271
918,39,296,834,0.739674,272
917,35,305,846,0.769037,273
913,41,311,843,0.770654,274
916,53,308,824,0.772881,275
915,35,314,849,0.785444,276
910,35,319,843,0.763354,277
907,33,320,848,0.782864,278
909,14,339,886,0.833736,279
906,1,352,901,0.819887,280
907,22,356,878,0.823407,281
902,20,363,875,0.78481,282
883,31,397,868,0.805704,283
881,42,392,856,0.809144,284
876,36,409,864,0.790291,285
852,60,440,839,0.80322,286
836,68,475,831,0.820892,287
841,73,461,823,0.829645,288
834,82,470,812,0.840047,289
831,91,478,802,0.853371,290
819,91,498,800,0.868039,291
815,100,504,791,0.855835,292
834,111,480,781,0.856465,293
826,108,492,782,0.865996,294
831,109,475,781,0.863182,295
826,122,479,769,0.865131,296
821,115,492,776,0.865609,297
823,103,476,792,0.873151,298
805,90,498,805,0.88791,299
803,88,500,805,0.897811,300
786,81,526,812,0.906753,301
783,76,530,816,0.897534,302
782,57,527,840,0.892622,303
783,47,524,848,0.896472,304
783,33,528,868,0.886645,305
780,31,528,868,0.878188,306
780,29,504,864,0.866909,307
775,21,494,875,0.87099,308
772,16,477,878,0.864443,309
749,16,493,888,0.872719,310
738,10,487,895,0.847747,311
730,32,492,868,0.838945,312
725,48,490,851,0.82148,313
724,50,474,849,0.790253,314
708,59,490,840,0.772028,315
700,55,494,846,0.781395,316
692,70,532,836,0.815259,317
688,83,540,820,0.813471,318
679,89,560,812,0.818554,319
669,100,580,808,0.819633,320
673,106,573,802,0.81335,321
660,104,600,798,0.800981,322
659,99,602,807,0.810808,323
652,113,604,789,0.813803,324
643,110,615,791,0.820256,325
645,110,599,791,0.836363,326
642,109,596,791,0.854447,327
637,113,600,786,0.851843,328
620,108,589,787,0.850672,329
622,109,545,781,0.846697,330
613,107,526,782,0.866144,331
620,103,484,786,0.857152,332
599,98,456,790,0.863918,333
608,91,425,799,0.830877,334
606,67,386,821,0.792874,335
594,80,382,805,0.741425,336
581,33,347,858,0.691319,338
572,31,346,864,0.726531,339
567,62,339,830,0.738272,340
566,82,318,810,0.74879,341
563,31,313,867,0.757649,342
553,33,313,866,0.792781,343
531,39,326,862,0.811072,344
531,89,323,808,0.821881,345
525,79,329,820,0.843753,346
529,85,332,815,0.845305,347
517,88,363,813,0.871652,348
505,85,382,814,0.862803,349
489,79,416,818,0.861114,350
477,102,450,789,0.869346,351
487,110,435,784,0.881597,352
490,117,436,776,0.861896,353
475,114,467,778,0.866856,354
469,128,474,768,0.853883,355
452,130,490,764,0.87582,356
448,117,496,779,0.877756,357
433,128,518,762,0.87752,358
444,143,506,746,0.877324,359
